data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,bairro,categoria
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555565,CARNE BOVINA PATINHO S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,43.65,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555566,CARNE BOVINA PICANHA -( + ) BARATO -1 KG,59.98,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555567,CARNE BOVINA POSTA BRANCA S/ OSSO ( PEDAÇO ) -( + ) BARATO -1 KG,40.98,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555568,CARNE BOVINA POSTA VERMELHA S/ OSSO (PEDAÇO) -( + ) BARATO -1 KG,42.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555569,CORAÇÃO DE GALINHA -( + ) BARATO -1 KG,34.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555571,COXA E SOBRECOXA CONGELADA  -( + ) BARATO -1 KG,11.97,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555572,COXINHAS DA ASA CONGELADA  -( + ) BARATO -1 KG,13.65,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555574,FILÉ DE PEITO DE FRANGO S/OSSO  -( + ) BARATO -1 KG,24.88,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555575,FRANGO CONGELADO  -( + ) BARATO -1 KG,9.98,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555578,LINGUIÇA FINA CONGELADA  -( + ) BARATO -1 KG,26.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555579,LINGUIÇA TOSCANA CONGELADO  -( + ) BARATO -1 KG,19.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555581,MORTADELA -( + ) BARATO -500 GR,10.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555585,PRESUNTO COZIDO FATIADO  -( + ) BARATO -200 GR,9.99,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,555588,SALSICHA TIPO VIENA  -( + ) BARATO -500 GR,13.58,Santa Quitéria,Açougue
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,666662,ESCOVA DENTAL ADULTO  -( + ) BARATO -1 UN,10.98,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,666666,PAPEL HIGIÊNICO C/ 12 UNIDADES 60 M   -( + ) BARATO -1 PCTE,19.89,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,666667,PAPEL HIGIÊNICO C/ 16 UNIDADES 60 M   -( + ) BARATO -1 PCTE,24.67,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,666668,PAPEL HIGIÊNICO FOLHA DUPLA C/ 04 UNIDADES 30 M  -( + ) BARATO -1 PCTE,6.89,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,666669,SABONETE -( + ) BARATO -90 GR,3.39,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777772,CERA LIQUIDA  -( + ) BARATO -750 ML,9.99,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777773,ESPONJA DE LÃ DE AÇO -( + ) BARATO -60 GR,3.98,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777775,FÓSFORO PACOTE C/10 CAIXAS  -( + ) BARATO -1 PCTE,3.98,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777785,SACO PLÁSTICO P/ LIXO 100 L  -( + ) BARATO -5 UN,3.79,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777786,SACO PLÁSTICO P/ LIXO 30 L  -( + ) BARATO -10 UN,3.79,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777787,SACO PLÁSTICO P/ LIXO 50 L  -( + ) BARATO -10 UN,2.99,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777788,TOALHA DE PAPEL FOLHA DUPLA  -( + ) BARATO -2 ROLO,4.67,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,777789,VELA C/ 8 UNIDADES  -( + ) BARATO -128 GR,5.38,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888881,ABACATE -1 KG,8.79,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888882,ABACAXI PEROLA -1 UN,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888883,ABOBORA KABOTIA -1 KG,2.65,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888884,ABOBORA MENINA -1 KG,2.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888886,ABOBRINHA VERDE -1 KG,5.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888887,ACELGA -1 MC/CX,5.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888888,AGRIÃO -1 MC/CX,3.29,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888889,AIPIM -1 KG,2.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888890,ALFACE CRESPA -1 PC/UN,2.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888891,ALFACE LISA -1 PC/UN,2.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888892,ALHO A GRANEL ATENÇÃO -100 GR,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888893,AMEIXA VERMELHA -1 KG,29.9,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888894,BANANA CATURRA -1 KG,3.47,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888898,BATATA DOCE -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888899,BATATA MONALISA -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888901,BERINJELA -1 KG,8.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888902,BETERRABA -1 KG,1.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888903,BRÓCOLIS -1 UN,6.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888905,CAQUI FUYU -1 KG,7.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888906,CEBOLA -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888908,CEBOLA ROXA -1 KG,7.98,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888910,CENOURA -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888911,CHEIRO VERDE -1 MC/CX,3.49,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888912,CHUCHU -1 KG,1.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888913,COUVE FLOR -1 UN,7.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888914,COUVE MANTEIGA -1 MC/CX,3.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888916,GENGIBRE -1 KG,13.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888917,GOIABA -1 KG,8.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888923,LARANJA PERA -1 KG,2.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888925,LIMÃO TAITI -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888926,MAÇÃ FUJI -1 KG,11.69,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888927,MAÇÃ GALA -1 KG,11.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888928,MAÇÃ VERDE -1 KG,14.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888929,MAMÃO FORMOSA -1 KG,8.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888932,MANGA TOMY -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888933,MARACUJÁ -1 KG,8.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888935,MELÃO AMARELO -1 KG,0.0,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888936,MILHO VERDE ( ESPIGA ) -1 BJ,7.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888938,MORANGO -250 GR,16.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888940,PEPINO -1 KG,6.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888941,PEPINO JAPONÊS -1 KG,9.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888944,PIMENTÃO VERDE -1 KG,15.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888945,PIMENTÃO VERMELHO -1 KG,16.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888946,PINHÃO -1 KG,16.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888947,PONKAN -1 KG,3.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888951,REPOLHO VERDE -1 UN,4.99,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888952,RÚCULA -1 MC/CX,5.79,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",8.0,888956,TOMATE LONGA VIDA -1 KG,7.89,Santa Quitéria,Hortifruti
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",9.0,999992,CERVEJA BOHEMIA Lata -350 ML,3.49,Santa Quitéria,Bebidas alcoólicas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",9.0,999998,REFRIGERANTE -( + ) BARATO Pet -2 LITRO,4.99,Santa Quitéria,Bebidas alcoólicas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,111123,AZEITONA EM CONSERVA SACHÊ -( + ) BARATO -120 GR,6.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,111124,BATATA FRITA ONDULADA  -( + ) BARATO -40 GR,3.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,111129,BISCOITO MARIA  -( + ) BARATO -400 GR,5.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,111145,FARINHA DE MANDIOCA TORRADA  -( + ) BARATO -1 KG,6.49,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,111179,VINAGRE DE ÁLCOOL -( + ) BARATO -750 ML,2.89,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",2.0,222235,FARINHA DE ARROZ -( + ) BARATO -1 KG,9.99,Santa Quitéria,Bebidas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",2.0,222225,FARINHA DE TRIGO INTEGRAL  -( + ) BARATO -1 KG,4.29,Santa Quitéria,Bebidas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",2.0,222232,MISTURA PARA BOLO INTEGRAL -( + ) BARATO -400 GR,10.99,Santa Quitéria,Bebidas
